building_file,f1_score,precision,recall,contamination,leaf_size,metric,n_neighbors,p
568_modified.csv,0.13530927835051546,0.14685314685314685,0.12544802867383512,0.042163079861325836,10,minkowski,100,1
467_modified.csv,0.580814717477004,0.6452554744525547,0.5280764635603346,0.0692661319246234,10,manhattan,8,1
1335_modified.csv,0.2603719599427754,0.3244206773618538,0.2174432497013142,0.03281364331163154,100,minkowski,100,1
66_modified.csv,0.4624922504649721,0.4806701030927835,0.44563918757467147,0.1,10,minkowski,5,3
1252_modified.csv,0.20715350223546944,0.27524752475247527,0.16606929510155316,0.03101515071388246,100,euclidean,67,2
740_modified.csv,0.28109627547434995,0.3412969283276451,0.23894862604540024,0.03491115667610035,16,minkowski,100,3
795_modified.csv,0.18507890961262555,0.23159784560143626,0.15412186379928317,0.033409260552282494,60,manhattan,91,2
1205_modified.csv,0.38747553816046965,0.396,0.3793103448275862,0.046298819165607116,100,euclidean,100,3
212_modified.csv,0.5289367429340511,0.6055469953775039,0.46953405017921146,0.050822861927904445,100,euclidean,5,3
534_modified.csv,0.18318695106649938,0.1928665785997358,0.17443249701314217,0.044663485336940346,100,manhattan,100,1
39_modified.csv,0.47648514851485146,0.4942233632862644,0.45997610513739545,0.09608786680021132,23,minkowski,5,1
477_modified.csv,0.3819989534275249,0.3398510242085661,0.43608124253285546,0.1,42,euclidean,5,1
522_modified.csv,0.11711199545196134,0.11171366594360087,0.12305854241338113,0.06199382709012489,51,manhattan,30,1
999_modified.csv,0.6090404440919904,0.9056603773584906,0.45878136200716846,0.057179096979906564,18,manhattan,5,2
76_modified.csv,0.35509396636993074,0.3029535864978903,0.42891278375149344,0.09937851371536846,68,minkowski,5,3
344_modified.csv,0.2558441558441558,0.2802275960170697,0.23536439665471923,0.04260807153306961,75,minkowski,100,2
595_modified.csv,0.3571858087793145,0.3595641646489104,0.3548387096774194,0.04862407387408336,100,minkowski,100,1
1074_modified.csv,0.4102870813397129,0.3517948717948718,0.4921090387374462,0.06905520855503697,10,euclidean,100,3
512_modified.csv,0.16842105263157894,0.15051740357478832,0.1911589008363202,0.06337465727029745,10,euclidean,100,1
558_modified.csv,0.13667117726657646,0.15756630265210608,0.12066905615292713,0.03933089154194628,100,euclidean,61,1
1306_modified.csv,0.1913929784824462,0.18191603875134554,0.2019115890083632,0.05723196516328494,21,euclidean,100,1
10_modified.csv,0.5833333333333334,0.751412429378531,0.4767025089605735,0.04656150240525436,100,manhattan,5,1
