building_file,f1_score,precision,recall,contamination,leaf_size,metric,n_neighbors,p
568_modified.csv,0.26833073322932915,0.29553264604810997,0.24571428571428572,0.03457429033815243,100,manhattan,100,1
467_modified.csv,0.46166529266281947,0.5458089668615984,0.4,0.039696600060795936,100,manhattan,8,3
1335_modified.csv,0.3798449612403101,0.4152542372881356,0.35,0.03473786341403458,100,manhattan,100,3
66_modified.csv,0.2852689010132502,0.313893653516295,0.26142857142857145,0.05520086890316729,10,euclidean,5,1
1252_modified.csv,0.32981927710843373,0.3487261146496815,0.31285714285714283,0.037056806715043786,100,minkowski,100,1
740_modified.csv,0.4509394572025052,0.8372093023255814,0.30857142857142855,0.014856652024862324,10,minkowski,100,1
795_modified.csv,0.358,0.5966666666666667,0.2557142857142857,0.017456134994286224,59,manhattan,100,3
1205_modified.csv,0.42084168336673344,0.375,0.4794520547945205,0.051714784745940115,100,manhattan,100,3
212_modified.csv,0.36873406966864913,0.4549266247379455,0.31,0.07081990803306672,86,manhattan,8,3
534_modified.csv,0.3172526573998365,0.37093690248565964,0.27714285714285714,0.03048906580762906,10,manhattan,100,3
39_modified.csv,0.28503937007874014,0.3175438596491228,0.25857142857142856,0.1,18,minkowski,5,3
477_modified.csv,0.23084200567644275,0.34173669467787116,0.1742857142857143,0.020732968459165665,100,manhattan,100,1
522_modified.csv,0.35678391959798994,0.4311740890688259,0.30428571428571427,0.02920218166847401,100,manhattan,100,1
999_modified.csv,0.28693424423569597,0.35668789808917195,0.24,0.02779083003350499,10,manhattan,100,1
76_modified.csv,0.24697986577181208,0.23291139240506328,0.26285714285714284,0.04810618354686133,11,manhattan,100,1
344_modified.csv,0.23948811700182815,0.33248730964467005,0.18714285714285714,0.024836953880171046,10,minkowski,100,1
595_modified.csv,0.2637837837837838,0.5422222222222223,0.1742857142857143,0.013303085994820775,47,euclidean,100,3
1074_modified.csv,0.12777777777777777,0.3357664233576642,0.07890222984562607,0.01,41,euclidean,33,1
512_modified.csv,0.3291338582677165,0.36666666666666664,0.2985714285714286,0.033133497500370465,19,euclidean,100,2
558_modified.csv,0.2619047619047619,0.25686813186813184,0.2671428571428571,0.042568168168536945,100,minkowski,100,1
1306_modified.csv,0.3736968724939856,0.4259597806215722,0.33285714285714285,0.03364505675583373,100,manhattan,99,3
10_modified.csv,0.5173674588665448,0.7182741116751269,0.4042857142857143,0.0635168271892232,50,euclidean,5,1
942_modified.csv,0.3018641010222489,0.26064382139148495,0.3585714285714286,0.1,10,manhattan,5,1
486_modified.csv,0.35076252723311546,0.7385321100917431,0.23,0.012707679978474296,10,euclidean,100,1
168_modified.csv,0.3815789473684211,0.4496124031007752,0.3314285714285714,0.054770224936952945,100,euclidean,8,1
498_modified.csv,0.31453362255965295,0.6531531531531531,0.20714285714285716,0.01324999559036377,10,minkowski,100,3
533_modified.csv,0.4015594541910331,0.6319018404907976,0.29428571428571426,0.01882996791219123,100,manhattan,100,1
1068_modified.csv,0.3401920438957476,0.8493150684931506,0.21269296740994853,0.01,100,minkowski,97,3
337_modified.csv,0.2768166089965398,0.718562874251497,0.17142857142857143,0.01,10,minkowski,100,1
1006_modified.csv,0.4159351789331533,0.3640661938534279,0.48503937007874015,0.1,10,minkowski,65,1
1391_modified.csv,0.10224215246636771,0.13734939759036144,0.08142857142857143,0.023732014538088136,100,euclidean,100,1
53_modified.csv,0.3931240657698057,0.4122257053291536,0.3757142857142857,0.09739511264273724,24,minkowski,5,3
423_modified.csv,0.4673748103186646,0.9005847953216374,0.3155737704918033,0.014236462444999551,10,euclidean,100,3
1354_modified.csv,0.359026369168357,0.6188811188811189,0.25285714285714284,0.016720756307003985,10,manhattan,100,1
587_modified.csv,0.2281449893390192,0.4495798319327731,0.15285714285714286,0.015092429544960654,38,minkowski,76,3
1410_modified.csv,0.4189079054604727,0.4876660341555977,0.36714285714285716,0.03231260482914695,10,manhattan,100,1
988_modified.csv,0.1927877947295423,0.18733153638814015,0.19857142857142857,0.04417904356126856,10,minkowski,100,3
1086_modified.csv,0.0951188986232791,0.17592592592592593,0.06518010291595197,0.017483719092876875,10,manhattan,100,1
356_modified.csv,0.231651376146789,0.5872093023255814,0.1442857142857143,0.01,10,minkowski,100,1
580_modified.csv,0.35473340587595215,0.7442922374429224,0.23285714285714285,0.012554727225052808,100,manhattan,100,1
986_modified.csv,0.1468764902241297,0.11023622047244094,0.22,0.1,29,minkowski,5,3
1334_modified.csv,0.3801478352692714,0.728744939271255,0.2571428571428571,0.01456392843601412,10,manhattan,100,1
1183_modified.csv,0.3817062445030783,0.4965675057208238,0.31,0.025317883962284234,100,manhattan,100,1
685_modified.csv,0.0927038626609442,0.11612903225806452,0.07714285714285714,0.028456397014376307,10,manhattan,100,1
1019_modified.csv,0.2136986301369863,0.29620253164556964,0.16714285714285715,0.022652023116083976,10,euclidean,100,2
451_modified.csv,0.3786316776007498,0.5504087193460491,0.2885714285714286,0.03469915932013838,100,minkowski,5,3
185_modified.csv,0.3296888141295206,0.40081799591002043,0.28,0.0845753273100993,10,minkowski,6,1
1541_modified.csv,0.4191279887482419,0.40934065934065933,0.42939481268011526,0.04209785329992201,10,manhattan,100,3
655_modified.csv,0.281615302869288,0.22419627749576987,0.37857142857142856,0.09994589009199345,21,minkowski,16,3
620_modified.csv,0.225825130283729,0.189873417721519,0.2785714285714286,0.06131896969271791,35,euclidean,13,3
960_modified.csv,0.295910780669145,0.3085271317829457,0.2842857142857143,0.06763751291195577,39,minkowski,5,1
