building_file,f1_score,precision,recall,contamination,leaf_size,metric,n_neighbors,p
568_modified.csv,0.34074074074074073,0.34442595673876875,0.33713355048859933,0.0368682296542756,10,minkowski,100,1
467_modified.csv,0.6642920747996438,0.7328094302554028,0.6074918566775245,0.06333647848720048,100,manhattan,5,1
1335_modified.csv,0.5471180237877402,0.6242171189979123,0.48697068403908794,0.027856483493009815,10,minkowski,100,1
66_modified.csv,0.46522064323111445,0.43015214384508993,0.506514657980456,0.05813728300101424,100,euclidean,5,3
1252_modified.csv,0.4903025601241272,0.46814814814814815,0.5146579804560261,0.04070053680500898,100,euclidean,100,3
740_modified.csv,0.5306893295561851,0.6314606741573033,0.4576547231270358,0.0260398219820085,15,minkowski,100,2
795_modified.csv,0.5018670649738611,0.463448275862069,0.5472312703583062,0.04263150676791094,100,minkowski,100,1
1205_modified.csv,0.4954954954954955,0.43478260869565216,0.5759162303664922,0.04796989250734585,100,manhattan,100,3
212_modified.csv,0.5402597402597402,0.5767097966728281,0.50814332247557,0.1,10,minkowski,5,1
534_modified.csv,0.42591093117408907,0.42351046698872785,0.42833876221498374,0.03638442177832424,100,euclidean,100,3
39_modified.csv,0.508400292184076,0.4609271523178808,0.5667752442996743,0.0739096525742567,10,minkowski,5,1
477_modified.csv,0.46592317224287483,0.376,0.6123778501628665,0.08134451044178626,87,manhattan,5,2
522_modified.csv,0.45166959578207383,0.4904580152671756,0.4185667752442997,0.03122817535395113,100,manhattan,98,2
999_modified.csv,0.6841574167507568,0.8992042440318302,0.5521172638436482,0.031026475794552363,24,minkowski,5,3
76_modified.csv,0.398406374501992,0.5128205128205128,0.3257328990228013,0.02309508070607378,100,manhattan,77,3
344_modified.csv,0.32727272727272727,0.37037037037037035,0.2931596091205212,0.029588080592331697,87,euclidean,100,2
595_modified.csv,0.4891640866873065,0.6676056338028169,0.38599348534201955,0.020876219100792955,100,manhattan,100,1
1074_modified.csv,0.2899728997289973,0.47345132743362833,0.208984375,0.01603333894610943,19,manhattan,69,1
512_modified.csv,0.3960573476702509,0.4402390438247012,0.35993485342019543,0.029386833679841445,10,minkowski,100,3
558_modified.csv,0.3534675615212528,0.32599724896836313,0.38599348534201955,0.042641281769386544,10,minkowski,100,1
1306_modified.csv,0.5694915254237288,0.9298892988929889,0.41042345276872966,0.016597333708063138,17,minkowski,100,3
10_modified.csv,0.8103727714748784,0.8064516129032258,0.8143322475570033,0.1,42,euclidean,5,1
942_modified.csv,0.6108374384236454,0.773067331670823,0.504885993485342,0.026295166722015394,29,minkowski,5,1
486_modified.csv,0.40836408364083643,0.8341708542713567,0.2703583061889251,0.011370521521363353,100,euclidean,85,1
168_modified.csv,0.624512099921936,0.5997001499250375,0.6514657980456026,0.07138164878853767,92,minkowski,6,2
498_modified.csv,0.2471131639722864,0.4246031746031746,0.1742671009771987,0.01761344048867003,100,manhattan,33,3
533_modified.csv,0.3955637707948244,0.45726495726495725,0.3485342019543974,0.02721768914887474,10,minkowski,100,1
1068_modified.csv,0.4116222760290557,0.5414012738853503,0.33203125,0.024305082336580387,100,minkowski,100,3
337_modified.csv,0.4193254329990884,0.47619047619047616,0.3745928338762215,0.029634538671380384,100,minkowski,100,1
1006_modified.csv,0.6692015209125475,0.5797101449275363,0.7913669064748201,0.08761806755246657,46,euclidean,31,2
1391_modified.csv,0.002061855670103093,0.0028089887640449437,0.0016286644951140066,0.020514920023092246,44,minkowski,100,3
53_modified.csv,0.6141953619114546,0.5401730531520396,0.7117263843648208,0.06607107976883413,43,euclidean,5,2
423_modified.csv,0.5204081632653061,0.9503105590062112,0.3583138173302108,0.013256556506850922,100,minkowski,100,3
1354_modified.csv,0.4409199048374306,0.42967542503863987,0.4527687296416938,0.038664641497625316,100,manhattan,100,1
587_modified.csv,0.005161290322580645,0.012422360248447204,0.003257328990228013,0.01,10,minkowski,49,1
1410_modified.csv,0.48490077653149266,0.5155963302752293,0.4576547231270358,0.032554288705007976,96,euclidean,100,1
988_modified.csv,0.23367065317387303,0.26849894291754756,0.20684039087947884,0.027201735039881984,100,euclidean,100,3
1086_modified.csv,0.010256410256410256,0.014925373134328358,0.0078125,0.02361319483382151,35,euclidean,100,2
356_modified.csv,0.4099279423538831,0.4031496062992126,0.4169381107491857,0.03798869518294537,100,manhattan,100,3
580_modified.csv,0.4509582863585118,0.7326007326007326,0.3257328990228013,0.016331199035982014,100,minkowski,93,3
986_modified.csv,0.1868407835258664,0.13507625272331156,0.30293159609120524,0.1,40,minkowski,5,1
1334_modified.csv,0.3760262725779967,0.3791390728476821,0.3729641693811075,0.03527325898245281,10,manhattan,100,3
1183_modified.csv,0.5574354407836153,0.6149312377210217,0.509771986970684,0.03126755921687424,100,minkowski,100,1
685_modified.csv,0.11221719457013575,0.12627291242362526,0.10097719869706841,0.029512547224420458,100,manhattan,97,3
1019_modified.csv,0.3418141592920354,0.2585774058577406,0.5040783034257749,0.1,22,euclidean,5,2
451_modified.csv,0.7124183006535948,0.7147540983606557,0.7100977198697068,0.057859854375794335,20,manhattan,7,2
185_modified.csv,0.5838509316770186,0.5578635014836796,0.6123778501628665,0.08780116883677457,100,euclidean,5,1
1541_modified.csv,0.37791411042944784,0.30196078431372547,0.5049180327868853,0.06137112480434645,10,euclidean,100,1
655_modified.csv,0.5463842220598978,0.495364238410596,0.6091205211726385,0.04776176178446349,100,minkowski,19,3
620_modified.csv,0.4543524416135881,0.6524390243902439,0.3485342019543974,0.021707827313444204,74,manhattan,22,1
960_modified.csv,0.5507649513212796,0.48058252427184467,0.6449511400651465,0.07233017637670493,10,minkowski,5,3
1445_modified.csv,0.4307692307692308,0.6621621621621622,0.31921824104234525,0.017836121271065795,10,minkowski,71,1
774_modified.csv,0.35172413793103446,0.37362637362637363,0.3322475570032573,0.031490086986403175,100,euclidean,100,3
1131_modified.csv,0.42362869198312236,0.4395796847635727,0.40879478827361565,0.03298940407876021,10,manhattan,100,3
964_modified.csv,0.6375779162956366,0.7033398821218074,0.5830618892508144,0.03034151196558231,93,manhattan,100,3
1443_modified.csv,0.455535390199637,0.514344262295082,0.40879478827361565,0.028998222539417647,10,minkowski,100,1
1207_modified.csv,0.41723356009070295,0.6865671641791045,0.2996742671009772,0.01588071420715235,100,manhattan,100,3
297_modified.csv,0.2917139614074915,0.22386759581881532,0.4185667752442997,0.06590714407256039,10,manhattan,100,2
200_modified.csv,0.553030303030303,0.5169971671388102,0.5944625407166124,0.07149106162847224,23,manhattan,9,3
808_modified.csv,0.45929526123936815,0.9043062200956937,0.30781758957654726,0.011980473145841298,10,manhattan,100,1
613_modified.csv,0.37410071942446044,0.7090909090909091,0.254071661237785,0.01295637405208392,10,manhattan,87,1
766_modified.csv,0.3137254901960784,0.6336633663366337,0.20846905537459284,0.0119361466153591,10,euclidean,100,3
1154_modified.csv,0.463768115942029,0.9523809523809523,0.3065134099616858,0.012493044350396462,10,euclidean,89,3
1348_modified.csv,0.4495837187789084,0.5203426124197003,0.3957654723127036,0.02719497685360977,100,manhattan,100,3
303_modified.csv,0.3079076277116865,0.26993865030674846,0.3583061889250814,0.048534019097336366,10,minkowski,100,3
