building_id,f1_score,precision,recall
1252,0.7990867579908676,0.6653992395437263,1.0
534,0.2768729641693811,0.32196969696969696,0.24285714285714285
1074,0.8461538461538461,0.84375,0.8485714285714285
1306,0.7981651376146789,0.6666666666666666,0.9942857142857143
942,0.5305343511450382,0.7942857142857143,0.3982808022922636
1068,0.7949367088607595,0.7136363636363636,0.8971428571428571
423,0.26143790849673204,0.3041825095057034,0.22922636103151864
988,0.6704761904761904,1.0,0.504297994269341
356,0.3517915309446254,0.4090909090909091,0.30857142857142855
685,0.5703422053231939,0.8522727272727273,0.42857142857142855
136,0.259047619047619,0.38857142857142857,0.19428571428571428
276,0.850632911392405,0.7636363636363637,0.96
263,0.8718703976435935,0.8705882352941177,0.8731563421828908
1143,0.8329048843187661,0.7570093457943925,0.9257142857142857
1297,0.779746835443038,0.7,0.88
1275,0.42165242165242167,0.42045454545454547,0.4228571428571429
973,0.7884393063583816,0.6608527131782945,0.9770773638968482
1272,0.39087947882736157,0.45454545454545453,0.34285714285714286
729,0.588774341351661,0.491395793499044,0.7342857142857143
248,0.6582278481012658,0.5909090909090909,0.7428571428571429
882,0.704,0.5855513307984791,0.8825214899713467
345,0.19142857142857142,0.1908831908831909,0.19197707736389685
144,0.1444866920152091,0.2159090909090909,0.10857142857142857
886,0.35181644359464626,0.5287356321839081,0.2636103151862464
32,0.49382716049382713,0.7407407407407407,0.37037037037037035
667,0.624,0.52,0.78
801,0.8795944233206591,0.7904328018223234,0.9914285714285714
922,0.7743413516609393,0.6450381679389313,0.9684813753581661
1257,0.7785388127853882,0.6482889733840305,0.9742857142857143
968,0.731651376146789,0.609942638623327,0.9140401146131805
1137,0.7619047619047619,0.6932084309133489,0.8457142857142858
1319,0.27586206896551724,0.4114285714285714,0.207492795389049
890,0.5904761904761905,0.8806818181818182,0.44412607449856734
1245,0.6955530216647663,0.5787476280834914,0.8714285714285714
701,0.6692015209125475,0.6013667425968109,0.7542857142857143
108,0.2661596958174905,0.3977272727272727,0.2
1278,0.3745928338762215,0.4356060606060606,0.32857142857142857
698,0.5906499429874572,0.49146110056925996,0.74
117,0.23778501628664495,0.2765151515151515,0.20857142857142857
952,0.7949599083619702,0.6622137404580153,0.994269340974212
687,0.1518987341772152,0.13636363636363635,0.17142857142857143
1260,0.6841505131128849,0.5692599620493358,0.8571428571428571
79,0.8829568788501027,0.7933579335793358,0.9953703703703703
275,0.8455696202531645,0.759090909090909,0.9542857142857143
118,0.7611428571428571,0.6342857142857142,0.9514285714285714
1310,0.6872146118721462,0.5722433460076045,0.86
894,0.7729357798165137,0.6443594646271511,0.9656160458452722
1007,0.7137891077636153,0.5945945945945946,0.8927536231884058
1226,0.677309007981756,0.5635673624288425,0.8485714285714285
278,0.3811074918566775,0.4431818181818182,0.3342857142857143
721,0.5782857142857143,0.4819047619047619,0.7228571428571429
708,0.5958904109589042,0.49619771863117873,0.7457142857142857
892,0.8094674556213017,0.6812749003984063,0.9970845481049563
1258,0.6692015209125475,1.0,0.5028571428571429
190,0.8643852978453739,0.7767653758542141,0.9742857142857143
889,0.8032407407407407,0.6737864077669903,0.994269340974212
147,0.21673003802281368,0.32386363636363635,0.16285714285714287
69,0.2507836990595611,0.3883495145631068,0.18518518518518517
1267,0.769406392694064,0.6394686907020873,0.9656160458452722
966,0.7949599083619702,0.6622137404580153,0.994269340974212
969,0.7967667436489607,0.6673114119922631,0.9885386819484241
1318,0.44283121597096187,0.583732057416268,0.3567251461988304
270,0.7755102040816326,0.6956521739130435,0.8760806916426513
697,0.5883694412770809,0.48956356736242884,0.7371428571428571
896,0.7839080459770115,0.654510556621881,0.9770773638968482
981,0.5381679389312977,0.8057142857142857,0.4040114613180516
929,0.8508014796547472,0.7419354838709677,0.9971098265895953
1001,0.22318840579710145,0.22318840579710145,0.22318840579710145
293,0.8433048433048433,0.8409090909090909,0.8457142857142858
673,0.11126961483594865,0.1111111111111111,0.11142857142857143
148,0.5551330798479087,0.8295454545454546,0.41714285714285715
240,0.8810126582278481,0.7909090909090909,0.9942857142857143
970,0.7878787878787878,0.6563106796116505,0.9854227405247813
926,0.5855263157894737,0.6872586872586872,0.5100286532951289
905,0.7884393063583816,0.6608527131782945,0.9770773638968482
119,0.6978335233751425,0.5806451612903226,0.8742857142857143
181,0.8477157360406091,0.7608200455580866,0.9570200573065902
931,0.7688787185354691,0.64,0.9627507163323782
1323,0.8980645161290323,0.8188235294117647,0.9942857142857143
137,0.21414913957934992,0.3236994219653179,0.16
1279,0.3745928338762215,0.4356060606060606,0.32857142857142857
1300,0.5437262357414449,0.8125,0.4085714285714286
903,0.7986270022883295,0.6647619047619048,1.0
924,0.6133333333333333,0.9147727272727273,0.46131805157593125
1304,0.6273764258555133,0.9375,0.4714285714285714
312,0.20946915351506457,0.21037463976945245,0.20857142857142857
848,0.5866666666666667,0.5263157894736842,0.6626506024096386
112,0.07224334600760456,0.10795454545454546,0.054285714285714284
1247,0.6795895096921323,0.5654648956356736,0.8514285714285714
1225,0.45297504798464494,0.6900584795321637,0.33714285714285713
1253,0.594488188976378,0.9556962025316456,0.43142857142857144
1241,0.30798479087452474,0.4602272727272727,0.23142857142857143
881,0.7958236658932715,0.6608863198458574,1.0
1120,0.8147208121827412,0.7328767123287672,0.9171428571428571
722,0.584192439862543,0.4875717017208413,0.7285714285714285
318,0.8469387755102041,0.7597254004576659,0.9567723342939481
183,0.8604060913705583,0.773972602739726,0.9685714285714285
1246,0.8225214198286414,0.7194860813704497,0.96
1264,0.7402135231316725,0.6153846153846154,0.9285714285714286
1316,0.7452471482889734,0.6697038724373576,0.84
1261,0.6311787072243346,0.9431818181818182,0.4742857142857143
880,0.5212121212121212,0.8835616438356164,0.36962750716332377
653,0.8818297331639136,0.7922374429223744,0.994269340974212
680,0.811965811965812,0.8096590909090909,0.8142857142857143
925,0.8081534772182254,0.6948453608247422,0.9656160458452722
1284,0.8835443037974684,0.7931818181818182,0.9971428571428571
895,0.8682170542635659,0.7905882352941176,0.9627507163323782
1234,0.3594864479315264,0.358974358974359,0.36
935,0.8894601542416453,0.8065268065268065,0.9914040114613181
1147,0.6271379703534777,0.5218216318785579,0.7857142857142857
82,0.8189300411522634,0.737037037037037,0.9212962962962963
1296,0.8746438746438746,0.8721590909090909,0.8771428571428571
1285,0.8683544303797468,0.7795454545454545,0.98
971,0.6106346483704974,0.7606837606837606,0.5100286532951289
560,0.7075351213282248,0.6353211009174312,0.7982708933717579
254,0.6978335233751425,0.5806451612903226,0.8742857142857143
1232,0.8072916666666666,0.6768558951965066,1.0
887,0.5522875816993464,0.6425855513307985,0.48424068767908307
919,0.8220230473751601,0.7430555555555556,0.9197707736389685
977,0.8529411764705882,0.7451820128479657,0.997134670487106
492,0.7508854781582054,0.6284584980237155,0.9325513196480938
994,0.27918781725888325,0.2505694760820046,0.3151862464183381
1309,0.7808041504539559,0.7149643705463183,0.86
1,0.9053117782909931,0.9032258064516129,0.9074074074074074
928,0.7711670480549199,0.6419047619047619,0.9656160458452722
978,0.7702857142857142,0.6406844106463878,0.9656160458452722
1249,0.6692015209125475,1.0,0.5028571428571429
1172,0.8517110266159695,0.765375854214123,0.96
623,0.7206385404789054,0.5996204933586338,0.9028571428571428
879,0.6666666666666666,0.9943181818181818,0.501432664756447
247,0.887468030690537,0.7977011494252874,1.0
884,0.7217694994179278,0.6078431372549019,0.8882521489971347
893,0.5066666666666667,0.7556818181818182,0.38108882521489973
996,0.8004587155963303,0.6673040152963671,1.0
246,0.8860759493670886,0.7954545454545454,1.0
666,0.6675159235668789,0.6022988505747127,0.7485714285714286
235,0.8202531645569621,0.7363636363636363,0.9257142857142857
159,0.7573062261753494,0.680365296803653,0.8538681948424068
683,0.33825944170771755,0.39768339768339767,0.29428571428571426
909,0.19047619047619047,0.15866388308977036,0.23824451410658307
1259,0.8337349397590361,0.7208333333333333,0.9885714285714285
121,0.6091205211726385,0.7083333333333334,0.5342857142857143
974,0.5904761904761905,0.8806818181818182,0.44412607449856734
149,0.37448559670781895,0.6691176470588235,0.26
1315,0.6597938144329897,0.5506692160611855,0.8228571428571428
990,0.7358708189158016,0.6158301158301158,0.9140401146131805
945,0.5638095238095238,0.8409090909090909,0.42406876790830944
975,0.45021645021645024,0.4495677233429395,0.4508670520231214
844,0.8111888111888111,0.7286432160804021,0.9148264984227129
1073,0.7665903890160183,0.6393129770992366,0.9571428571428572
55,0.8868360277136259,0.8847926267281107,0.8888888888888888
739,0.18241042345276873,0.21212121212121213,0.16
141,0.22053231939163498,0.32954545454545453,0.1657142857142857
675,0.5076335877862596,0.764367816091954,0.38
742,0.15753424657534246,0.1311787072243346,0.19714285714285715
107,0.5819793205317577,0.5225464190981433,0.6566666666666666
1251,0.7785388127853882,0.6482889733840305,0.9742857142857143
238,0.8821989528795812,0.7929411764705883,0.9941002949852508
139,0.33079847908745247,0.4943181818181818,0.24857142857142858
1242,0.3485342019543974,0.4053030303030303,0.3057142857142857
253,0.8860759493670886,0.7954545454545454,1.0
657,0.679340937896071,0.6104783599088838,0.7657142857142857
111,0.45627376425855515,0.6818181818181818,0.34285714285714286
967,0.49236641221374045,0.7371428571428571,0.36962750716332377
941,0.6771428571428572,0.6752136752136753,0.6790830945558739
1311,0.779746835443038,0.7,0.88
710,0.3011456628477905,0.3524904214559387,0.26285714285714284
1106,0.8263988522238164,0.829971181556196,0.8228571428571428
290,0.7756653992395437,0.6970387243735763,0.8742857142857143
1238,0.8670967741935484,0.7905882352941176,0.96
693,0.1596958174904943,0.23863636363636365,0.12
914,0.5849673202614379,0.6806083650190115,0.5128939828080229
1353,0.7604690117252931,0.7591973244147158,0.761744966442953
1230,0.8202531645569621,0.7363636363636363,0.9257142857142857
677,0.3322475570032573,0.38636363636363635,0.2914285714285714
1266,0.6162790697674418,0.5185909980430529,0.7593123209169055
174,0.8871989860583016,0.7972665148063781,1.0
992,0.8258064516129032,0.7511737089201878,0.9169054441260746
91,0.8213552361396304,0.7380073800738007,0.9259259259259259
1219,0.7938144329896907,0.7230046948356808,0.88
961,0.889171974522293,0.8004587155963303,1.0
1239,0.8203821656050956,0.7402298850574712,0.92
1302,0.38516405135520687,0.38461538461538464,0.38571428571428573
732,0.7623888182973316,0.6864988558352403,0.8571428571428571
171,0.5855513307984791,0.5261958997722096,0.66
1255,0.36574746008708275,0.36416184971098264,0.3673469387755102
41,0.8914549653579676,0.8894009216589862,0.8935185185185185
658,0.6778350515463918,0.6173708920187794,0.7514285714285714
1141,0.8167539267015707,0.7536231884057971,0.8914285714285715
1303,0.23574144486692014,0.3522727272727273,0.17714285714285713
335,0.8603988603988604,0.8579545454545454,0.8628571428571429
936,0.5472636815920398,0.6496062992125984,0.47277936962750716
730,0.6118721461187214,0.5095057034220533,0.7657142857142857
173,0.8517110266159695,0.765375854214123,0.96
1128,0.5142857142857142,0.7670454545454546,0.3868194842406877
827,0.8571428571428571,0.7692307692307693,0.967741935483871
948,0.748730964467005,0.6719817767653758,0.8452722063037249
1283,0.39316239316239315,0.39204545454545453,0.3942857142857143
439,0.8853868194842407,0.8853868194842407,0.8853868194842407
950,0.25882352941176473,0.21653543307086615,0.3216374269005848
